complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,distinct_called_numbers,age_group,tariff_plan,status,customer_value,cluster
0,35.0,0,11405,151,45.0,3,1,1,486.24,2
0,23.0,0,1388,31,63.0,4,1,1,82.975,0
1,37.0,0,3485,48,21.0,3,1,2,241.32,0
1,41.0,0,2050,52,26.0,4,1,2,190.05,0
0,40.0,1,4290,79,27.0,3,1,1,194.76,1
0,34.0,0,318,4,3.0,2,1,2,14.49,0
0,31.0,0,1710,40,16.0,3,1,2,190.0,0
0,34.0,2,2133,55,68.5,5,1,1,110.82,1
0,32.0,0,4110,61,11.0,2,1,1,187.695,0
1,32.0,0,5738,96,20.0,2,1,1,334.53,0
1,24.0,0,765,7,1.0,4,1,2,59.3,0
0,19.0,0,8888,175,44.0,4,1,1,429.075,2
0,33.0,0,305,6,2.0,2,1,2,45.495,0
0,40.0,2,14127,194,36.0,3,1,1,1399.96,2
0,26.0,0,825,10,3.0,4,1,2,73.375,0
0,36.0,0,4210,77,23.0,3,1,1,171.48,0
0,38.0,2,453,9,1.0,5,1,1,9.93,0
0,45.0,2,2665,51,21.0,4,1,1,817.9,1
0,25.0,0,1415,33,16.0,2,1,1,191.16,0
0,27.0,0,700,25,7.0,2,1,2,77.625,0
1,15.5,3,2502,36,9.0,3,1,1,161.52,1
0,30.0,0,1523,43,68.5,4,1,1,134.15,0
1,40.0,4,14127,198,37.0,3,1,1,914.68,3
0,24.0,0,1073,32,63.0,4,1,1,62.625,0
0,34.0,0,7813,127,44.0,2,1,1,1815.735625,2
0,37.0,0,843,13,2.0,3,1,2,66.24,0
0,34.0,0,5703,58,35.0,2,1,1,601.245,1
1,31.0,0,0,0,0.0,2,1,2,0.0,0
0,36.0,2,14127,198,27.0,3,1,1,746.52,2
0,40.0,0,1055,22,16.0,2,1,2,97.965,0
0,15.5,4,3148,49,32.0,3,1,1,307.88,1
0,28.0,0,920,32,12.0,2,1,1,132.84,0
0,37.0,1,2485,37,15.0,3,1,1,1224.88,1
0,32.0,0,2133,48,27.0,1,1,1,119.955,0
0,40.0,1,6033,100,11.0,3,1,1,265.32,1
0,39.0,0,4073,68,38.0,1,1,1,255.255,0
0,35.0,0,305,6,2.0,2,1,2,45.495,0
0,39.0,0,6108,95,10.0,2,1,1,310.635,0
0,39.0,0,13648,171,47.0,3,1,1,568.76,2
0,29.0,2,14127,198,68.5,2,1,1,731.25,2
0,38.0,0,3423,78,15.0,3,1,1,168.04,0
0,20.0,0,740,18,6.0,2,1,1,38.61,0
0,15.5,1,9228,175,53.0,4,1,1,452.575,2
0,35.0,0,0,0,0.0,3,1,2,0.0,0
0,36.0,2,11590,152,44.0,4,1,1,311.05,2
0,39.0,0,0,0,0.0,2,1,2,0.0,0
1,15.5,0,1533,15,3.0,3,1,1,89.92,0
0,15.5,3,4755,49,14.0,3,1,1,1100.16,1
0,24.0,1,1620,36,12.0,2,2,1,938.52,1
0,39.0,2,11580,159,46.0,4,1,1,315.975,2
0,29.0,0,1195,32,12.0,3,1,2,153.08,0
0,35.0,1,148,4,4.0,5,1,1,45.78,0
0,35.0,0,6223,95,13.0,2,1,1,311.31,0
0,37.0,1,4323,64,32.0,1,1,1,279.785,1
0,20.0,1,1755,29,16.0,2,1,1,228.78,0
0,38.0,1,193,5,4.0,3,1,1,27.92,0
0,35.0,0,660,43,4.0,3,1,2,56.12,0
0,19.0,4,7298,157,59.0,2,2,1,843.975,3
0,39.0,0,1780,30,28.0,2,1,2,207.45,0
0,36.0,6,9835,83,27.0,4,1,1,247.95,3
0,38.0,2,643,10,4.0,5,1,1,26.295,0
0,41.0,0,433,10,3.0,3,1,2,37.72,0
0,33.0,0,2360,41,17.0,2,1,1,720.045,0
0,37.0,0,0,0,0.0,2,1,2,0.0,0
1,15.5,0,1228,9,1.0,2,1,1,55.665,0
0,43.0,0,1135,24,17.0,2,1,2,119.655,0
0,39.0,0,0,0,0.0,3,1,2,4.0,0
0,37.0,1,3490,64,23.0,2,1,1,983.43,1
0,37.0,0,875,14,11.0,2,1,2,40.005,0
0,34.0,3,1620,48,14.0,3,2,1,898.72,1
0,23.0,1,14127,198,68.5,2,1,1,707.94,2
0,35.0,0,3185,58,21.0,2,1,1,937.935,1
0,17.0,0,2100,31,12.0,2,1,1,226.395,0
0,40.0,1,4485,76,16.0,3,1,1,194.44,1
0,38.0,0,1793,48,18.0,1,1,1,101.255,0
0,33.0,0,1130,22,6.0,4,1,2,118.8,0
0,37.0,2,6865,99,26.0,5,1,1,140.46,1
0,38.0,0,3175,72,13.0,3,1,1,173.88,0
0,33.0,1,6595,96,19.0,5,1,1,107.865,1
1,30.0,0,0,0,0.0,4,1,2,0.0,0
0,40.0,2,5898,100,28.0,2,1,1,431.91,1
0,15.5,0,4005,32,4.0,3,1,1,953.48,0
0,45.0,3,4820,95,28.0,4,1,1,165.375,1
0,38.0,2,7428,86,37.0,2,1,1,860.13,1
0,27.0,0,1300,35,22.0,3,1,2,177.4,0
0,15.5,0,6028,132,38.0,1,2,1,740.3,2
0,38.0,0,2485,49,10.0,2,1,1,838.53,0
0,39.0,0,2948,65,17.0,3,1,2,184.52,0
0,15.5,0,8817,166,41.0,4,1,1,412.075,2
0,35.0,0,1100,18,9.0,2,1,2,81.81,0
0,24.0,0,520,4,1.0,4,1,2,48.1,0
0,15.5,1,1678,19,5.0,3,1,1,95.88,0
0,33.0,0,14127,173,26.0,2,1,1,1309.185,2
0,29.0,2,1430,41,10.0,3,2,1,822.84,1
0,36.0,0,0,0,0.0,4,1,2,0.0,0
0,38.0,1,2895,58,22.0,2,1,1,911.385,1
0,15.5,0,4265,42,13.0,3,1,1,1048.28,0
1,44.0,0,2498,64,23.0,3,1,2,194.48,0
0,35.0,0,2078,44,33.0,3,1,2,320.88,0
0,44.0,1,14033,179,50.0,3,1,1,628.48,2
0,41.0,2,365,9,4.0,3,1,1,62.96,0
0,42.0,2,4595,85,29.0,3,1,1,235.2,1
0,26.0,0,1415,32,11.0,2,1,1,96.615,0
0,15.5,0,7917,154,38.0,4,1,1,304.275,2
0,36.0,1,5818,98,24.0,2,1,1,383.22,1
0,34.0,0,4150,74,21.0,3,1,1,168.96,0
0,34.0,0,4290,69,13.0,2,1,1,196.155,0
0,32.0,0,3638,80,24.0,2,1,1,167.31,0
1,36.0,0,2513,47,31.0,3,1,2,246.4,0
1,34.0,0,1145,47,15.0,2,1,2,85.14,0
0,38.0,0,2838,64,32.0,3,1,2,232.08,0
0,31.0,0,6670,92,23.0,4,1,1,209.05,0
0,38.0,1,2840,56,25.0,2,1,1,940.32,1
0,36.0,2,4070,86,41.0,3,1,1,350.24,1
0,26.0,0,2275,6,6.0,3,1,1,91.24,0
0,39.0,1,2948,67,29.0,3,1,1,1620.6,1
0,39.0,1,6493,71,39.0,2,1,1,794.88,1
0,43.0,1,2713,70,30.0,3,1,1,1607.32,1
1,15.5,2,1748,29,13.0,3,1,1,131.08,0
0,32.0,0,1085,20,9.0,4,1,2,117.625,0
0,31.0,3,14127,198,68.5,2,1,1,734.085,2
0,43.0,0,710,20,9.0,3,1,2,113.2,0
0,36.0,0,0,0,0.0,2,1,2,4.5,0
0,41.0,2,7873,136,47.0,3,1,1,1815.735625,2
0,24.0,0,1630,37,11.0,2,1,1,165.015,0
0,37.0,3,6660,116,32.0,2,2,1,1528.92,1
0,35.0,0,2073,30,4.0,3,1,1,88.12,0
0,39.0,1,2758,66,26.0,3,1,1,1576.96,1
0,44.0,1,4630,81,23.0,3,1,1,268.44,1
0,31.0,0,4210,71,22.0,3,1,1,171.24,0
0,31.0,0,0,0,0.0,3,1,2,0.0,0
1,35.0,0,2673,49,29.0,3,1,2,248.88,0
0,15.5,0,4085,34,8.0,3,1,1,996.76,0
0,32.0,0,2710,19,2.0,3,1,1,1815.735625,1
0,31.0,0,3470,70,25.0,2,1,1,235.8,0
0,22.0,2,6878,155,49.0,2,2,1,779.985,2
0,20.0,0,395,13,4.0,2,1,2,18.36,0
0,36.0,0,4400,78,26.0,3,1,1,195.12,0
0,39.0,1,7813,133,45.0,3,1,1,1815.735625,2
0,23.0,1,1695,32,15.0,3,1,1,213.08,0
0,39.0,0,508,6,7.0,2,1,2,95.13,0
0,45.0,0,578,15,10.0,3,1,2,111.72,0
0,39.0,2,6560,89,28.0,3,1,1,1029.96,1
0,36.0,2,14127,198,33.0,3,1,1,833.8,2
0,24.0,0,710,5,4.0,4,1,2,75.375,0
0,15.5,0,680,9,12.0,2,1,1,31.005,0
0,33.0,0,3085,53,24.0,2,1,1,924.21,1
1,33.0,0,4803,81,22.0,2,1,1,219.78,0
0,36.0,0,5613,89,10.0,2,1,1,256.59,0
0,37.0,0,3660,76,24.0,2,1,1,168.12,0
0,15.5,2,2737,40,20.0,3,1,1,243.08,1
0,35.0,4,14127,198,68.5,2,1,1,782.775,3
0,39.0,1,935,17,13.0,2,1,1,65.34,0
0,42.0,0,875,20,12.0,2,1,2,76.275,0
0,42.0,10,10820,101,48.0,5,1,1,190.815,3
0,35.0,0,290,2,2.0,2,1,2,13.14,0
0,23.0,0,730,25,8.0,2,1,1,47.475,0
0,42.0,0,1360,28,18.0,2,1,2,143.46,0
0,33.0,0,710,8,7.0,2,1,2,54.81,0
0,30.0,0,395,25,6.0,3,1,2,60.8,0
0,41.0,3,4195,94,34.0,3,1,1,455.56,1
0,15.5,2,4885,47,15.0,3,1,1,1121.28,1
0,39.0,0,11170,150,34.0,4,1,1,300.5,2
0,37.0,1,6500,86,26.0,3,1,1,1007.44,1
0,30.0,0,6413,63,34.0,2,1,1,709.92,1
0,42.0,2,4103,90,34.0,3,1,1,243.72,1
0,33.0,0,920,10,7.0,2,1,2,73.35,0
0,43.0,0,438,14,5.0,3,1,2,78.08,0
0,37.0,4,14127,198,29.0,3,2,1,819.52,3
0,21.0,0,2860,52,19.0,3,1,1,116.48,0
0,15.5,2,2773,43,15.0,3,1,1,196.64,1
0,15.5,0,8688,168,40.0,4,1,1,398.9,2
0,36.0,0,438,6,1.0,4,1,2,11.1,0
0,15.5,2,4450,43,12.0,3,1,1,1059.72,1
0,19.0,2,6698,147,44.0,2,2,1,722.025,2
0,26.0,0,1568,39,68.0,4,1,1,115.175,0
0,15.5,1,1308,11,2.0,3,1,1,52.76,0
1,36.0,8,10435,93,42.0,5,2,1,159.42,3
0,44.0,1,2620,49,24.0,3,1,1,1306.76,1
0,33.0,0,7143,118,39.0,2,1,1,1815.735625,2
0,29.0,2,6965,110,32.0,2,2,1,1501.875,1
0,32.0,1,305,6,2.0,3,1,1,40.44,0
1,15.5,1,1733,22,7.0,3,1,1,98.2,0
0,15.5,0,1408,17,3.0,3,1,1,57.0,0
0,44.0,3,903,20,10.0,5,1,1,52.845,1
0,36.0,0,1000,12,8.0,2,1,2,77.04,0
0,41.0,0,2540,47,23.0,3,1,1,1287.48,1
0,15.5,1,4085,40,9.0,3,1,1,1029.0,1
0,42.0,5,14127,198,36.0,3,2,1,893.56,3
0,38.0,1,3085,59,25.0,2,1,1,960.48,1
0,44.0,1,2653,68,39.0,2,1,1,198.945,1
0,25.0,0,980,29,13.0,2,1,1,121.905,0
0,22.0,5,3238,53,25.0,3,2,1,323.64,3
0,38.0,3,4623,98,45.0,3,1,1,308.84,1
0,27.0,0,420,5,5.0,4,1,2,18.125,0
0,34.0,0,1173,18,1.0,3,1,1,47.64,0
0,15.5,0,8368,155,32.0,4,1,1,340.575,2
1,35.0,1,5628,98,26.0,2,1,1,487.17,1
0,33.0,4,14127,198,68.5,2,2,1,739.485,3
0,30.0,0,3458,72,22.0,2,1,1,158.85,0
0,31.0,0,6458,65,31.0,2,1,1,712.035,1
0,42.0,2,11950,168,54.0,4,1,1,375.45,2
0,29.0,2,3590,70,27.0,3,1,1,226.4,1
0,42.0,3,9600,135,50.0,3,1,1,1037.4,2
0,16.0,1,9642,182,40.0,5,1,1,268.86,2
0,40.0,0,1028,16,4.0,3,1,2,101.76,0
0,40.0,2,2033,34,10.0,4,1,1,81.675,1
0,34.0,1,6805,86,27.0,3,1,1,1015.64,1
0,29.0,0,1605,41,24.0,3,1,2,217.84,0
0,34.0,0,1995,30,14.0,3,1,1,1173.0,1
0,20.0,3,2600,42,31.0,3,1,1,329.68,1
0,32.0,0,6670,91,18.0,4,1,1,169.025,0
1,39.0,0,313,10,7.0,3,1,2,56.92,0
0,27.0,0,6525,87,16.0,4,1,1,165.3,0
0,15.5,3,2898,41,15.0,3,1,1,209.56,1
0,30.0,3,1735,48,17.0,3,2,1,999.32,1
0,38.0,8,10210,89,44.0,4,2,1,267.475,3
0,40.0,2,3835,85,30.0,3,2,1,304.8,1
0,39.0,0,7213,123,30.0,3,1,1,1773.44,2
0,15.5,0,2000,26,15.0,2,1,1,212.67,0
0,31.0,0,6240,76,20.0,3,1,1,936.64,1
0,29.0,1,6830,93,18.0,5,1,1,114.345,1
0,36.0,0,4310,68,15.0,2,1,1,197.01,0
1,31.0,0,1180,51,15.0,3,1,2,101.24,0
0,39.0,1,8003,134,48.0,3,1,1,1815.735625,2
0,40.0,2,4270,89,33.0,3,1,1,366.36,1
0,22.0,1,1613,35,64.0,4,1,1,96.2,1
0,39.0,2,6615,91,25.0,3,1,1,1004.24,1
0,28.0,1,14127,198,68.5,2,1,1,687.645,2
0,42.0,0,2318,56,21.0,3,1,2,166.96,0
0,39.0,3,9175,124,45.0,3,1,1,967.96,2
0,33.0,1,7030,100,22.0,5,1,1,130.95,1
0,39.0,2,3805,38,8.0,3,1,1,1815.735625,1
0,22.0,0,1650,30,18.0,2,1,1,237.6,0
0,34.0,0,0,0,0.0,4,1,2,0.0,0
1,38.0,0,403,3,6.0,4,1,2,40.15,0
0,34.0,0,955,33,20.0,3,1,2,91.52,0
0,31.0,0,2790,15,5.0,3,1,1,1815.735625,1
1,39.0,0,1340,55,23.0,3,1,2,187.8,0
0,30.0,1,14127,198,24.0,2,1,1,809.28,2
0,28.0,2,2025,47,11.0,3,2,1,886.88,1
0,24.0,1,1135,28,6.0,2,2,1,871.335,0
0,16.0,0,9123,171,38.0,4,1,1,352.35,2
0,35.0,0,2393,57,22.0,2,1,1,1703.25,1
0,29.0,2,1988,51,68.5,5,1,1,134.085,1
0,44.0,2,7813,139,46.0,3,1,1,1815.735625,2
0,30.0,7,10175,83,36.0,4,1,1,256.45,3
0,36.0,1,2578,58,21.0,3,1,1,1525.44,1
1,39.0,0,1215,57,23.0,3,1,2,174.88,0
0,27.0,1,3720,68,28.0,3,1,1,247.52,1
0,42.0,0,790,16,12.0,3,1,2,124.24,0
0,39.0,1,6628,106,12.0,3,1,1,329.36,1
0,31.0,3,6785,108,28.0,2,2,1,1480.185,1
0,40.0,3,14127,198,34.0,3,1,1,833.44,2
0,46.0,2,14127,185,52.0,3,1,1,668.92,2
0,39.0,2,7045,107,28.0,5,1,1,150.78,1
0,37.0,0,743,13,8.0,4,1,2,121.4,0
0,39.0,2,7213,82,42.0,2,1,1,886.275,1
0,35.0,0,4190,63,12.0,3,1,1,170.12,0
0,28.0,2,1430,42,15.0,3,2,1,958.88,1
0,15.5,0,1182,13,5.0,2,1,1,53.775,0
0,31.0,2,3610,69,29.0,3,1,1,247.16,1
0,15.5,1,4165,36,12.0,3,1,1,1040.04,1
0,28.0,1,1628,42,68.5,4,1,1,129.25,1
0,16.0,5,3453,55,34.0,3,1,1,348.32,3
0,40.0,2,3210,32,7.0,3,1,1,1815.735625,1
0,33.0,0,4515,77,24.0,3,1,1,183.68,0
0,32.0,4,14127,198,68.5,2,2,1,883.53,3
1,42.0,0,2528,54,37.0,4,1,2,187.05,0
0,32.0,0,5533,87,6.0,2,1,1,252.9,0
0,35.0,0,1818,42,11.0,3,1,2,74.4,0
0,36.0,1,6480,97,21.0,5,1,1,121.155,1
0,31.0,0,1933,42,14.0,3,1,2,79.0,0
0,30.0,1,1225,38,14.0,2,1,1,178.335,0
0,41.0,0,2418,62,22.0,3,1,2,175.2,0
0,37.0,1,6043,93,9.0,3,1,1,273.44,1
0,40.0,0,2098,54,20.0,2,1,1,128.34,0
0,32.0,2,1953,47,68.5,5,1,1,100.5,1
0,40.0,0,2013,50,19.0,3,1,2,126.52,0
0,40.0,0,1623,29,10.0,3,1,1,98.08,0
0,43.0,0,260,10,6.0,2,1,2,79.65,0
1,30.0,1,1495,44,16.0,2,2,1,987.255,1
0,35.0,0,1973,46,27.0,1,1,1,111.045,0
0,15.5,0,5488,125,25.0,1,2,1,622.215,2
0,35.0,1,305,6,2.0,5,1,1,15.165,0
0,42.0,1,3040,63,29.0,2,1,1,994.635,1
1,15.5,2,1793,25,9.0,3,1,1,100.72,0
0,34.0,0,630,12,4.0,2,1,2,42.39,0
0,15.5,2,4505,46,14.0,3,1,1,1170.04,1
0,37.0,0,14127,174,42.0,3,1,1,578.08,2
0,37.0,3,14127,198,34.0,3,1,1,923.0,2
0,36.0,2,8925,121,45.0,3,1,1,1037.84,2
0,38.0,0,2328,62,27.0,2,1,1,1741.05,1
0,33.0,0,4023,82,29.0,2,1,1,189.225,0
0,18.0,4,3157,51,21.0,3,1,1,280.32,1
0,29.0,0,1005,18,8.0,4,1,2,105.575,0
1,32.0,0,2313,40,27.0,3,1,2,198.12,0
0,33.0,0,1170,37,15.0,3,1,2,136.28,0
0,24.0,0,300,19,9.0,2,2,1,738.855,0
0,23.0,1,3520,65,36.0,3,1,1,231.4,1
1,34.0,0,1665,58,17.0,3,1,2,164.92,0
0,15.5,0,8548,163,34.0,4,1,1,357.775,2
1,38.0,0,933,13,6.0,4,1,2,63.65,0
0,41.0,0,2573,66,38.0,1,1,1,216.645,0
0,37.0,0,275,4,1.0,2,1,2,12.555,0
0,35.0,0,0,0,0.0,2,1,2,0.0,0
0,38.0,0,2643,60,22.0,2,1,1,1624.635,1
0,35.0,0,10970,147,42.0,3,1,1,444.68,2
0,25.0,0,3035,60,20.0,3,1,1,123.8,0
0,35.0,1,4080,82,29.0,3,1,1,290.48,1
1,15.5,3,1853,28,11.0,3,1,1,123.24,1
0,37.0,0,14127,183,33.0,2,1,1,1429.11,2
1,33.0,0,710,44,17.0,2,1,1,96.93,0
0,15.5,0,5828,125,34.0,1,2,1,673.915,2
0,39.0,1,3070,50,18.0,3,1,1,1296.8,1
0,23.0,0,1235,34,7.0,2,2,1,880.605,0
0,30.0,0,1673,38,9.0,3,1,2,68.44,0
0,39.0,2,11960,161,52.0,4,1,1,370.525,2
0,21.0,1,9193,181,46.0,5,1,1,272.61,2
0,35.0,2,5943,96,21.0,2,1,1,370.755,1
0,39.0,1,2568,65,23.0,3,1,1,1533.32,1
1,39.0,2,3355,50,20.0,3,1,1,220.2,1
0,41.0,1,378,8,6.0,3,1,1,63.44,0
0,40.0,0,13548,165,46.0,3,1,1,560.52,2
1,39.0,0,2353,60,21.0,3,1,2,256.52,0
0,38.0,3,3685,69,40.0,2,1,1,1082.43,1
0,33.0,8,10740,93,43.0,4,1,1,270.825,3
0,36.0,0,305,6,2.0,2,1,2,45.495,0
0,32.0,0,2188,42,27.0,3,1,2,185.2,0
0,15.5,0,5897,134,37.0,1,2,1,711.205,2
0,31.0,0,50,2,1.0,2,1,2,2.34,0
0,37.0,1,2905,27,10.0,3,1,1,1815.735625,1
0,15.5,0,992,12,2.0,2,1,1,45.18,0
1,40.0,8,10390,97,46.0,5,2,1,170.805,3
0,30.0,0,1828,42,25.0,1,1,1,102.85,0
0,38.0,2,14127,179,59.0,3,1,1,666.08,2
0,15.5,1,2547,33,16.0,3,1,1,167.2,0
0,37.0,0,2695,37,3.0,3,1,2,137.28,0
0,38.0,0,1638,44,2.0,3,1,2,67.28,0
0,17.0,3,3043,45,17.0,3,1,1,151.52,1
0,37.0,0,2363,52,14.0,3,1,2,124.6,0
0,17.0,3,9838,187,57.0,5,1,1,301.875,2
0,30.0,0,3210,66,20.0,2,1,1,192.42,0
0,33.0,0,0,0,0.0,5,1,1,0.0,0
1,30.0,0,2990,35,15.0,2,1,2,140.625,0
0,35.0,0,8210,105,26.0,3,1,1,796.6,1
0,38.0,0,0,0,0.0,3,1,2,12.0,0
1,36.0,0,2178,51,15.0,3,1,2,101.16,0
0,34.0,0,4435,81,21.0,3,1,1,180.64,0
0,29.0,2,1375,39,13.0,3,2,1,848.56,1
0,37.0,0,613,9,17.0,2,1,2,122.49,0
0,30.0,0,6365,85,16.0,4,1,1,161.25,0
0,35.0,0,1065,34,5.0,3,1,2,111.96,0
0,39.0,0,3793,61,37.0,1,1,1,211.97,0
0,18.0,0,920,20,10.0,1,1,1,73.7,0
0,34.0,1,3005,57,21.0,2,1,1,911.79,1
0,35.0,1,8810,115,41.0,3,1,1,905.0,2
0,36.0,0,3893,60,33.0,1,1,1,217.415,0
0,42.0,2,3165,61,29.0,2,1,1,1009.17,1
0,26.0,0,650,35,14.0,2,1,2,35.325,0
0,37.0,1,2518,56,30.0,2,1,1,147.33,0
0,15.5,0,8742,170,37.0,4,1,1,382.8,2
0,35.0,1,14125,198,30.0,2,1,1,743.985,2
0,36.0,1,6905,91,24.0,3,1,1,1027.84,1
0,35.0,0,2080,10,6.0,3,1,1,1815.735625,1
0,21.0,0,1390,26,13.0,2,1,1,194.22,0
1,43.0,0,2723,68,24.0,3,1,2,215.64,0
0,37.0,1,14127,185,30.0,2,1,1,1400.175,2
0,29.0,0,0,0,0.0,2,1,2,0.0,0
0,41.0,1,3470,82,27.0,3,1,1,274.08,1
0,17.0,0,660,16,5.0,2,1,1,30.42,0
0,17.0,0,1505,26,16.0,2,1,1,307.395,0
0,37.0,3,7318,85,52.0,2,1,1,913.635,1
0,28.0,0,600,6,5.0,4,1,2,75.15,0
0,29.0,0,14127,198,63.0,2,1,1,692.64,2
0,31.0,3,14127,198,68.5,2,1,1,725.49,2
0,34.0,0,0,0,0.0,4,1,1,0.0,0
0,37.0,0,1858,25,4.0,3,1,1,103.32,0
0,44.0,10,11000,109,50.0,5,1,1,201.135,3
0,37.0,0,0,0,0.0,2,1,2,40.5,0
0,41.0,3,11830,163,51.0,4,1,1,357.325,2
0,20.0,0,1010,24,8.0,2,2,1,847.53,0
0,40.0,0,1015,17,2.0,3,1,2,101.28,0
0,36.0,0,595,9,9.0,2,1,2,94.68,0
0,32.0,0,1903,35,27.0,3,1,2,165.52,0
0,42.0,1,1928,35,12.0,4,1,1,86.575,0
0,34.0,0,14127,165,28.0,2,1,1,1189.575,2
0,34.0,1,3085,25,14.0,3,1,1,152.4,0
0,44.0,2,14127,177,50.0,3,1,1,641.4,2
0,42.0,0,485,14,7.0,2,1,2,103.455,0
0,20.0,4,2933,47,23.0,3,1,1,283.2,1
0,15.5,0,1428,16,5.0,3,1,1,57.76,0
0,35.0,0,1265,41,15.0,3,1,2,180.24,0
0,31.0,0,0,0,0.0,4,1,2,0.0,0
0,38.0,2,3205,31,18.0,3,1,1,177.44,1
0,24.0,0,895,24,5.0,2,2,1,734.355,0
1,36.0,0,2023,41,31.0,3,1,1,210.56,0
0,31.0,1,1485,42,19.0,2,1,1,221.715,0
0,37.0,2,14127,198,28.0,3,1,1,697.76,2
0,33.0,0,2088,51,20.0,2,1,1,1657.755,1
0,41.0,1,11420,158,51.0,4,1,1,336.95,2
0,36.0,1,6310,86,28.0,3,1,1,1099.84,1
0,28.0,0,890,25,5.0,2,1,2,72.675,0
0,37.0,1,6740,101,26.0,5,1,1,135.615,1
0,27.0,0,715,26,1.0,2,2,1,807.345,0
0,44.0,3,6383,114,32.0,3,1,1,451.88,1
0,43.0,1,13773,175,45.0,3,1,1,589.92,2
0,34.0,0,4118,64,31.0,1,1,1,230.01,0
0,37.0,2,3855,39,16.0,3,1,1,215.76,1
0,18.0,0,0,0,0.0,4,1,2,0.0,0
0,35.0,0,5813,59,20.0,2,1,1,624.24,0
0,37.0,2,14127,192,45.0,2,1,1,1501.965,2
1,15.5,0,1183,13,5.0,2,1,2,53.82,0
0,33.0,0,6353,66,33.0,2,1,1,720.855,1
0,36.0,1,305,6,2.0,5,1,1,15.165,0
0,34.0,0,3413,76,26.0,2,1,1,157.005,0
0,33.0,0,1253,27,29.0,3,1,2,59.2,0
0,17.0,1,9047,176,39.0,5,1,1,244.845,2
1,32.0,0,5453,89,20.0,2,1,1,312.39,0
